title,genre
hard ground ,Western
the night crew,Action
critical mass,Action
the left hand of god,Adventure
battle: los angeles,Action
earth to echo,Fantasy
pet sematary 2,Horror
wind river,Adventure
eliminators,Action
session 9,Horror
run all night,Action
the satan bug,Fantasy
evil dead,Horror
point break,Action
jackals,Horror
labyrinth,Fantasy
heat,Adventure
sleight,Action
gone in 60 seconds,Action
shane,Western
rocketship x-m,Fantasy
a wrinkle in time,Fantasy
the saint,Adventure
the body snatcher,Horror
dog eat dog,Action
stormageddon,Action
old yeller,Adventure
breaking point,Action
robocop 2,Fantasy
bushwick,Action
x-files the movie,Fantasy
alpha,Action
madron,Western
21 jump street,Action
ghost town,Western
finders keepers,Horror
saw ii,Horror
the king's thief,Adventure
knight & day ,Action
lost signal,Horror
china gate,Action
iceman,Fantasy
assault on a queen,Adventure
call of the wild,Adventure
urgency,Action
gunga din,Adventure
hard kill,Action
critters attack!,Horror
torque,Action
the shadow effect,Action
what dreams may come,Fantasy
zombie strippers,Horror
autopsy,Horror
night of the comet,Fantasy
clash of the titans,Adventure
my science project,Fantasy
little big man,Western
the a-team,Action
mclintock!,Western
star trek. nemesis,Fantasy
drive,Action
p2,Horror
sink hole,Fantasy
judge dredd,Fantasy
jumper,Fantasy
cover-up,Action
simon sez,Action
the virginian,Western
yankee pasha,Adventure
seventh cavalry,Western
the night watchmen,Horror
the baytown outlws,Action
speak no evil,Horror
star in the dust,Adventure
city beneath the sea,Adventure
knock on any door,Action
the 5th wave,Fantasy
wrong turn 6,Horror
hell camp,Adventure
3 ninjas,Action
the package,Action
night of the warrior,Action
the hole ,Horror
the exterminator,Action
black forest,Horror
deadly swarm,Horror
run for the sun,Adventure
in god's hands,Adventure
big jake,Western
lethal weapon 3,Action
the proud ones,Western
miami supercops,Adventure
amityville 3-d,Horror
predators,Action
the guardian,Action
halloween,Horror
nowhere to run,Action
the boy,Horror
cloverfield,Action
date with an angel,Fantasy
redemption,Action
the final wish,Horror
inferno,Fantasy
posse,Western
kansas,Adventure
video kid,Adventure
thinner,Horror
gattaca,Fantasy
evil toons,Horror
the black pirate,Adventure
mac and me,Fantasy
riot,Action
clockstoppers,Fantasy
tales from the crypt,Horror
lost treasure,Action
american yakuza,Action
the courier,Action
silver river,Adventure
invisible invaders,Fantasy
polar storm ,Action
the rawhide years,Western
halloween ii,Horror
minority report,Fantasy
the scarlet coat,Adventure
bride of the monster,Horror
love takes wing,Western
reprisal,Action
living & dying,Action
gleaming the cube,Adventure
hollow point,Action
the banshee chapter,Horror
lost horizon,Adventure
cat people,Horror
#screamers,Horror
star wars,Fantasy
the gore gore girls,Horror
swamp shark,Horror
marooned,Fantasy
rough riders,Action
shock waves,Horror
against the dark,Action
the rum diary,Adventure
men in black iii,Action
the hallyday brand,Western
the visit,Horror
martyrs,Horror
death machine,Fantasy
killing gunther,Action
it's alive!,Horror
escapee,Horror
hack!,Horror
the phantom,Adventure
the americano,Western
tomahawk,Western
son of lassie,Adventure
deja vu,Fantasy
men in black ii,Fantasy
bliss,Fantasy
supernova,Action
contact,Fantasy
spring breakers,Adventure
hunger,Horror
mannequin,Fantasy
ben,Horror
blind fury,Action
on the road,Adventure
the horse soldiers,Western
commando,Action
fire down below,Action
breaking at the edge,Horror
death trap,Horror
the hanging tree,Western
green fire,Adventure
barquero!,Western
day of reckoning,Action
the tall texan,Western
dragon eyes,Action
chain of command,Action
heaven's gate,Western
the train robbers,Western
rosebud,Adventure
voyagers,Fantasy
jason x,Horror
the premature burial,Horror
the whip hand,Fantasy
predator 2,Fantasy
backwoods,Horror
nightmare cinema,Horror
the 6th day,Fantasy
runaway,Fantasy
dark relic,Fantasy
preservation,Horror
rogue river,Horror
freaked,Horror
tamara,Horror
greenland,Action
211,Action
the spikes gang,Western
gravity,Fantasy
urban legend,Horror
catch .44,Action
paycheck,Fantasy
the owl,Action
thir13en ghosts,Horror
blue heat,Action
black christmas,Horror
reeker,Horror
the old ways,Horror
zulu dawn,Adventure
the last dragon,Action
red sun rising,Action
white fang,Adventure
column south,Western
the abyss,Fantasy
invaders from mars,Fantasy
hard justice,Action
shelter,Horror
the order,Action
fire on the amazon,Adventure
jubilee trail,Western
the big country,Western
brainwaves,Horror
the crimson pirate,Adventure
dead heat,Horror
congo,Adventure
let's get harry,Adventure
the proud rebel,Western
nazi overlord,Horror
dead rising: endgame,Horror
godzilla vs. kong,Fantasy
the black swan,Adventure
west of the pecos,Western
these thousands hill,Western
the wild country,Western
unconquered,Adventure
the stunt man,Action
the lie,Horror
them!,Fantasy
gamer,Action
the kid from texas,Western
vendetta,Action
re-animator 2,Horror
house of wax,Horror
candyman,Horror
passion,Adventure
demon seed,Fantasy
captive state,Fantasy
red heat,Action
earth vs. the spider,Fantasy
crazy murder,Horror
the spring,Fantasy
vfw,Action
tides of war,Action
rescue me,Action
crossworlds,Fantasy
solaris,Fantasy
the gentlemen,Action
mimic,Horror
sam whiskey,Western
devour,Horror
red sands ,Horror
the marksman,Action
sister sister,Horror
drum beat,Western
the eagle,Adventure
tough enough,Action
the warriors,Action
shoot 'em up,Action
cattle drive,Western
dr. cyclops,Horror
arkansas,Action
the storm,Action
diplomatic siege,Action
van helsing,Action
5 card stud,Western
soldier of fortune,Adventure
bernie the dolphin,Adventure
maniac,Horror
southbound,Horror
see no evil 2,Horror
the gun runners,Adventure
air,Fantasy
hatchet ii,Action
the arrival,Fantasy
assault on dome 4,Fantasy
the recall,Fantasy
young fury,Western
night of the creeps,Horror
the blue lagoon,Adventure
the last boyscout,Action
